,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-02-12,306.42644635469,251.51006388408285,368.565207709808,306.42644635469,306.42644635469,-0.7402805032756147,-0.7402805032756147,-0.7402805032756147,-0.7402805032756147,-0.7402805032756147,-0.7402805032756147,0.0,0.0,0.0,305.68616585141433
1,2019-02-14,306.7293332337891,241.64315514687212,366.9889768229878,306.7293332337891,306.7293332337891,-3.8717566731015567,-3.8717566731015567,-3.8717566731015567,-3.8717566731015567,-3.8717566731015567,-3.8717566731015567,0.0,0.0,0.0,302.8575765606875
2,2019-02-15,306.88077667333863,240.4266119039673,361.08044654853234,306.88077667333863,306.88077667333863,-5.9542252253866215,-5.9542252253866215,-5.9542252253866215,-5.9542252253866215,-5.9542252253866215,-5.9542252253866215,0.0,0.0,0.0,300.926551447952
3,2019-02-18,307.3351069919873,230.54157089901122,355.6996020961047,307.3351069919873,307.3351069919873,-14.079942928576253,-14.079942928576253,-14.079942928576253,-14.079942928576253,-14.079942928576253,-14.079942928576253,0.0,0.0,0.0,293.25516406341103
4,2019-02-19,307.48655043153684,227.61711383834654,352.2482452568531,307.48655043153684,307.48655043153684,-17.321351753328223,-17.321351753328223,-17.321351753328223,-17.321351753328223,-17.321351753328223,-17.321351753328223,0.0,0.0,0.0,290.16519867820864
5,2019-02-20,307.63799387108634,228.1777291184398,348.1283290039773,307.63799387108634,307.63799387108634,-20.767163818518984,-20.767163818518984,-20.767163818518984,-20.767163818518984,-20.767163818518984,-20.767163818518984,0.0,0.0,0.0,286.8708300525673
6,2019-02-21,307.78943731063595,219.05373716407627,345.66610189756113,307.78943731063595,307.78943731063595,-24.37254610333808,-24.37254610333808,-24.37254610333808,-24.37254610333808,-24.37254610333808,-24.37254610333808,0.0,0.0,0.0,283.41689120729785
7,2019-02-22,307.94088075018544,214.74527954819433,342.96762989468334,307.94088075018544,307.94088075018544,-28.088886963664073,-28.088886963664073,-28.088886963664073,-28.088886963664073,-28.088886963664073,-28.088886963664073,0.0,0.0,0.0,279.85199378652135
8,2019-02-25,308.39521106883416,204.53615086862277,333.556888651293,308.39521106883416,308.39521106883416,-39.38347706971046,-39.38347706971046,-39.38347706971046,-39.38347706971046,-39.38347706971046,-39.38347706971046,0.0,0.0,0.0,269.0117339991237
9,2019-02-26,308.5466545083837,202.41287783451367,328.95482781788706,308.5466545083837,308.5466545083837,-43.02005789512412,-43.02005789512412,-43.02005789512412,-43.02005789512412,-43.02005789512412,-43.02005789512412,0.0,0.0,0.0,265.5265966132596
10,2019-02-27,308.69809794793326,206.35039132811423,326.3840038138239,308.69809794793326,308.69809794793326,-46.50639155717989,-46.50639155717989,-46.50639155717989,-46.50639155717989,-46.50639155717989,-46.50639155717989,0.0,0.0,0.0,262.1917063907534
11,2019-02-28,308.8495413874828,194.7448699227676,316.89704502343136,308.8495413874828,308.8495413874828,-49.794506725593415,-49.794506725593415,-49.794506725593415,-49.794506725593415,-49.794506725593415,-49.794506725593415,0.0,0.0,0.0,259.0550346618894
12,2019-03-01,309.0009848270323,191.97993477206026,315.5231115397104,309.0009848270323,309.0009848270323,-52.840312153607705,-52.840312153607705,-52.840312153607705,-52.840312153607705,-52.840312153607705,-52.840312153607705,0.0,0.0,0.0,256.1606726734246
13,2019-03-05,309.6067585852306,191.13930870364464,310.9929929867238,309.6067585852306,309.6067585852306,-61.90010178802692,-61.90010178802692,-61.90010178802692,-61.90010178802692,-61.90010178802692,-61.90010178802692,0.0,0.0,0.0,247.70665679720366
14,2019-03-06,309.75820202478013,183.10278094061883,307.16346365726673,309.75820202478013,309.75820202478013,-63.26296159668881,-63.26296159668881,-63.26296159668881,-63.26296159668881,-63.26296159668881,-63.26296159668881,0.0,0.0,0.0,246.49524042809134
15,2019-03-07,309.9096454643297,183.12356071518207,303.8207494269093,309.9096454643297,309.9096454643297,-64.24010272594683,-64.24010272594683,-64.24010272594683,-64.24010272594683,-64.24010272594683,-64.24010272594683,0.0,0.0,0.0,245.66954273838286
16,2019-03-08,310.0610889038792,184.8511824082397,306.6228597426802,310.0610889038792,310.0610889038792,-64.83121890162657,-64.83121890162657,-64.83121890162657,-64.83121890162657,-64.83121890162657,-64.83121890162657,0.0,0.0,0.0,245.2298700022526
17,2019-03-11,310.5154192225279,182.79666234966493,306.22241674085205,310.5154192225279,310.5154192225279,-64.3838179978139,-64.3838179978139,-64.3838179978139,-64.3838179978139,-64.3838179978139,-64.3838179978139,0.0,0.0,0.0,246.131601224714
18,2019-03-12,310.6668626620774,183.59879887312127,310.5387386468192,310.6668626620774,310.6668626620774,-63.555809975788584,-63.555809975788584,-63.555809975788584,-63.555809975788584,-63.555809975788584,-63.555809975788584,0.0,0.0,0.0,247.11105268628882
19,2019-03-13,310.818306101627,185.50616649854587,311.2621342643042,310.818306101627,310.818306101627,-62.43162349480989,-62.43162349480989,-62.43162349480989,-62.43162349480989,-62.43162349480989,-62.43162349480989,0.0,0.0,0.0,248.38668260681712
20,2019-03-14,310.96974954117655,187.93567787569097,311.32083154095307,310.96974954117655,310.96974954117655,-61.0431409192445,-61.0431409192445,-61.0431409192445,-61.0431409192445,-61.0431409192445,-61.0431409192445,0.0,0.0,0.0,249.92660862193205
21,2019-03-15,311.12119298072605,188.3709198039154,309.9996450904949,311.12119298072605,311.12119298072605,-59.42498295351662,-59.42498295351662,-59.42498295351662,-59.42498295351662,-59.42498295351662,-59.42498295351662,0.0,0.0,0.0,251.69621002720942
22,2019-03-18,311.57552329937477,193.1316706375613,323.75341938764035,311.57552329937477,311.57552329937477,-53.56034884091961,-53.56034884091961,-53.56034884091961,-53.56034884091961,-53.56034884091961,-53.56034884091961,0.0,0.0,0.0,258.01517445845514
23,2019-03-19,311.72696673892426,199.64002690303465,322.61088739130497,311.72696673892426,311.72696673892426,-51.39219798764721,-51.39219798764721,-51.39219798764721,-51.39219798764721,-51.39219798764721,-51.39219798764721,0.0,0.0,0.0,260.33476875127707
24,2019-03-20,311.87841017847387,197.588744817056,324.769473643557,311.87841017847387,311.87841017847387,-49.176507781073454,-49.176507781073454,-49.176507781073454,-49.176507781073454,-49.176507781073454,-49.176507781073454,0.0,0.0,0.0,262.70190239740043
25,2019-03-22,312.1812970575729,208.36149626860086,329.6174187344663,312.1812970575729,312.1812970575729,-44.728417084891376,-44.728417084891376,-44.728417084891376,-44.728417084891376,-44.728417084891376,-44.728417084891376,0.0,0.0,0.0,267.45287997268156
26,2019-03-25,312.63562737622163,214.75064564042975,337.7240338138911,312.63562737622163,312.63562737622163,-38.39621801816196,-38.39621801816196,-38.39621801816196,-38.39621801816196,-38.39621801816196,-38.39621801816196,0.0,0.0,0.0,274.2394093580597
27,2019-03-26,312.78707081577113,218.94380202999596,337.7215089243829,312.78707081577113,312.78707081577113,-36.4497061122661,-36.4497061122661,-36.4497061122661,-36.4497061122661,-36.4497061122661,-36.4497061122661,0.0,0.0,0.0,276.33736470350505
28,2019-03-27,312.93851425532074,212.1178901069899,341.34076059441213,312.93851425532074,312.93851425532074,-34.60340583877306,-34.60340583877306,-34.60340583877306,-34.60340583877306,-34.60340583877306,-34.60340583877306,0.0,0.0,0.0,278.33510841654765
29,2019-03-28,313.08995769487024,220.12400803514402,343.8625002638854,313.08995769487024,313.08995769487024,-32.86178252053395,-32.86178252053395,-32.86178252053395,-32.86178252053395,-32.86178252053395,-32.86178252053395,0.0,0.0,0.0,280.2281751743363
30,2019-04-01,313.6957314530685,219.8914137874357,349.67838046518733,313.6957314530685,313.6957314530685,-26.900539332537157,-26.900539332537157,-26.900539332537157,-26.900539332537157,-26.900539332537157,-26.900539332537157,0.0,0.0,0.0,286.79519212053134
31,2019-04-02,313.847174892618,226.35442408921747,350.78099651689325,313.847174892618,313.847174892618,-25.62460842125828,-25.62460842125828,-25.62460842125828,-25.62460842125828,-25.62460842125828,-25.62460842125828,0.0,0.0,0.0,288.2225664713597
32,2019-04-03,313.9986183321676,228.40943731896445,353.36719875964087,313.9986183321676,313.9986183321676,-24.412069346306247,-24.412069346306247,-24.412069346306247,-24.412069346306247,-24.412069346306247,-24.412069346306247,0.0,0.0,0.0,289.5865489858614
33,2019-04-04,314.1500617717171,226.8159142116378,352.75167739852327,314.1500617717171,314.1500617717171,-23.249636954448324,-23.249636954448324,-23.249636954448324,-23.249636954448324,-23.249636954448324,-23.249636954448324,0.0,0.0,0.0,290.9004248172688
34,2019-04-05,314.3015052112667,230.7996659236912,356.0082577867579,314.3015052112667,314.3015052112667,-22.123816950382142,-22.123816950382142,-22.123816950382142,-22.123816950382142,-22.123816950382142,-22.123816950382142,0.0,0.0,0.0,292.17768826088457
35,2019-04-08,314.7558355299153,233.68658662265887,353.342198229355,314.7558355299153,314.7558355299153,-18.84015693295428,-18.84015693295428,-18.84015693295428,-18.84015693295428,-18.84015693295428,-18.84015693295428,0.0,0.0,0.0,295.915678596961
36,2019-04-09,314.90727896946487,237.0775196081092,359.38244256831194,314.90727896946487,314.90727896946487,-17.741515244164848,-17.741515244164848,-17.741515244164848,-17.741515244164848,-17.741515244164848,-17.741515244164848,0.0,0.0,0.0,297.1657637253
37,2019-04-10,315.0587224090145,238.96200173279442,357.946338741473,315.0587224090145,315.0587224090145,-16.627911616577503,-16.627911616577503,-16.627911616577503,-16.627911616577503,-16.627911616577503,-16.627911616577503,0.0,0.0,0.0,298.430810792437
38,2019-04-11,315.210165848564,239.11605024859216,366.2952198763311,315.210165848564,315.210165848564,-15.495086212819746,-15.495086212819746,-15.495086212819746,-15.495086212819746,-15.495086212819746,-15.495086212819746,0.0,0.0,0.0,299.71507963574425
39,2019-04-12,315.3616092881136,236.91713809636133,360.8930352583098,315.3616092881136,315.3616092881136,-14.34135155257125,-14.34135155257125,-14.34135155257125,-14.34135155257125,-14.34135155257125,-14.34135155257125,0.0,0.0,0.0,301.0202577355423
40,2019-04-15,315.8159396067622,242.09775785676467,364.67310897398994,315.8159396067622,315.8159396067622,-10.776587619412046,-10.776587619412046,-10.776587619412046,-10.776587619412046,-10.776587619412046,-10.776587619412046,0.0,0.0,0.0,305.03935198735013
41,2019-04-16,315.96738304631174,239.0619034814669,365.62130460536775,315.96738304631174,315.96738304631174,-9.573196536275342,-9.573196536275342,-9.573196536275342,-9.573196536275342,-9.573196536275342,-9.573196536275342,0.0,0.0,0.0,306.3941865100364
42,2019-04-18,316.27026992541084,245.06039036250124,371.8875922537798,316.27026992541084,316.27026992541084,-7.199790278559052,-7.199790278559052,-7.199790278559052,-7.199790278559052,-7.199790278559052,-7.199790278559052,0.0,0.0,0.0,309.07047964685177
43,2019-04-22,316.87604368360905,247.56675739106916,379.2684775773407,316.87604368360905,316.87604368360905,-2.9309970095010733,-2.9309970095010733,-2.9309970095010733,-2.9309970095010733,-2.9309970095010733,-2.9309970095010733,0.0,0.0,0.0,313.94504667410797
44,2019-04-23,317.0274871231586,255.87464837918435,378.71743672852307,317.0274871231586,317.0274871231586,-2.037258157484748,-2.037258157484748,-2.037258157484748,-2.037258157484748,-2.037258157484748,-2.037258157484748,0.0,0.0,0.0,314.99022896567385
45,2019-04-24,317.17893056270816,260.07547160332825,381.4170982480732,317.17893056270816,317.17893056270816,-1.2355506074959641,-1.2355506074959641,-1.2355506074959641,-1.2355506074959641,-1.2355506074959641,-1.2355506074959641,0.0,0.0,0.0,315.9433799552122
46,2019-04-25,317.3303740022577,254.20172940420446,377.13137141723695,317.3303740022577,317.3303740022577,-0.5346548976813869,-0.5346548976813869,-0.5346548976813869,-0.5346548976813869,-0.5346548976813869,-0.5346548976813869,0.0,0.0,0.0,316.79571910457634
