,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-02-12,546.7404504771569,500.2947776498304,583.6985152289208,546.7404504771569,546.7404504771569,-3.267314891420375,-3.267314891420375,-3.267314891420375,-3.267314891420375,-3.267314891420375,-3.267314891420375,0.0,0.0,0.0,543.4731355857365
1,2019-02-14,546.8768771217307,501.2552358595197,582.5864740744281,546.8768771217307,546.8768771217307,-4.314013277256849,-4.314013277256849,-4.314013277256849,-4.314013277256849,-4.314013277256849,-4.314013277256849,0.0,0.0,0.0,542.5628638444738
2,2019-02-15,546.9450904440176,499.3844036330131,584.3403390528586,546.9450904440176,546.9450904440176,-5.172138905592399,-5.172138905592399,-5.172138905592399,-5.172138905592399,-5.172138905592399,-5.172138905592399,0.0,0.0,0.0,541.7729515384252
3,2019-02-18,547.1497304108783,496.8077111814173,580.9676737431456,547.1497304108783,547.1497304108783,-9.053041337381105,-9.053041337381105,-9.053041337381105,-9.053041337381105,-9.053041337381105,-9.053041337381105,0.0,0.0,0.0,538.0966890734971
4,2019-02-19,547.2179437331652,494.3994313456843,575.6594773810662,547.2179437331652,547.2179437331652,-10.7467458465031,-10.7467458465031,-10.7467458465031,-10.7467458465031,-10.7467458465031,-10.7467458465031,0.0,0.0,0.0,536.471197886662
5,2019-02-20,547.2861570554521,493.7952440813857,578.8343008857217,547.2861570554521,547.2861570554521,-12.61245533659602,-12.61245533659602,-12.61245533659602,-12.61245533659602,-12.61245533659602,-12.61245533659602,0.0,0.0,0.0,534.6737017188561
6,2019-02-21,547.354370377739,484.78613284152976,571.6096561679811,547.354370377739,547.354370377739,-14.627970942750924,-14.627970942750924,-14.627970942750924,-14.627970942750924,-14.627970942750924,-14.627970942750924,0.0,0.0,0.0,532.726399434988
7,2019-02-22,547.4225837000258,489.3801011436011,574.0594127345845,547.4225837000258,547.4225837000258,-16.768183431714583,-16.768183431714583,-16.768183431714583,-16.768183431714583,-16.768183431714583,-16.768183431714583,0.0,0.0,0.0,530.6544002683113
8,2019-02-25,547.6272236668866,481.7061483726321,567.7678385621308,547.6272236668866,547.6272236668866,-23.654305070021543,-23.654305070021543,-23.654305070021543,-23.654305070021543,-23.654305070021543,-23.654305070021543,0.0,0.0,0.0,523.972918596865
9,2019-02-26,547.6954369891735,479.7257101280212,563.132816387891,547.6954369891735,547.6954369891735,-26.004381218320642,-26.004381218320642,-26.004381218320642,-26.004381218320642,-26.004381218320642,-26.004381218320642,0.0,0.0,0.0,521.6910557708528
10,2019-02-27,547.7636503114604,477.2877458652101,563.5192114418353,547.7636503114604,547.7636503114604,-28.33067278419366,-28.33067278419366,-28.33067278419366,-28.33067278419366,-28.33067278419366,-28.33067278419366,0.0,0.0,0.0,519.4329775272668
11,2019-02-28,547.8318636337474,473.9018582696484,557.825423439718,547.8318636337474,547.8318636337474,-30.60325577216868,-30.60325577216868,-30.60325577216868,-30.60325577216868,-30.60325577216868,-30.60325577216868,0.0,0.0,0.0,517.2286078615787
12,2019-03-01,547.9000769560341,472.03417775297316,557.2405727502552,547.9000769560341,547.9000769560341,-32.79352813942382,-32.79352813942382,-32.79352813942382,-32.79352813942382,-32.79352813942382,-32.79352813942382,0.0,0.0,0.0,515.1065488166103
13,2019-03-05,548.1729302451819,464.8846102973305,553.8075413155212,548.1729302451819,548.1729302451819,-40.23341190633168,-40.23341190633168,-40.23341190633168,-40.23341190633168,-40.23341190633168,-40.23341190633168,0.0,0.0,0.0,507.9395183388502
14,2019-03-06,548.2411435674687,465.2613584660997,546.9595735109375,548.2411435674687,548.2411435674687,-41.6625741737886,-41.6625741737886,-41.6625741737886,-41.6625741737886,-41.6625741737886,-41.6625741737886,0.0,0.0,0.0,506.57856939368014
15,2019-03-07,548.3093568897557,464.792134837018,549.3175384992851,548.3093568897557,548.3093568897557,-42.89039356416429,-42.89039356416429,-42.89039356416429,-42.89039356416429,-42.89039356416429,-42.89039356416429,0.0,0.0,0.0,505.4189633255914
