,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-02-12,1668.1018343345947,1505.050244209865,1719.6441244647938,1668.1018343345947,1668.1018343345947,-50.782403583553574,-50.782403583553574,-50.782403583553574,-50.782403583553574,-50.782403583553574,-50.782403583553574,0.0,0.0,0.0,1617.3194307510412
1,2019-02-14,1666.9367325230457,1502.6865329567468,1721.901498034088,1666.9367325230457,1666.9367325230457,-54.81304052639854,-54.81304052639854,-54.81304052639854,-54.81304052639854,-54.81304052639854,-54.81304052639854,0.0,0.0,0.0,1612.1236919966473
2,2019-02-15,1666.3541816172713,1500.4056859859927,1725.218807897381,1666.3541816172713,1666.3541816172713,-57.152752749355166,-57.152752749355166,-57.152752749355166,-57.152752749355166,-57.152752749355166,-57.152752749355166,0.0,0.0,0.0,1609.201428867916
3,2019-02-18,1664.6065288999475,1491.0560313713877,1704.6686480225749,1664.6065288999475,1664.6065288999475,-65.88584167113254,-65.88584167113254,-65.88584167113254,-65.88584167113254,-65.88584167113254,-65.88584167113254,0.0,0.0,0.0,1598.720687228815
4,2019-02-19,1664.0239779941728,1479.007016149494,1708.6377183338523,1664.0239779941728,1664.0239779941728,-69.45494177313991,-69.45494177313991,-69.45494177313991,-69.45494177313991,-69.45494177313991,-69.45494177313991,0.0,0.0,0.0,1594.569036221033
5,2019-02-20,1663.4414270883983,1483.9769837527863,1700.760988855853,1663.4414270883983,1663.4414270883983,-73.38074147513377,-73.38074147513377,-73.38074147513377,-73.38074147513377,-73.38074147513377,-73.38074147513377,0.0,0.0,0.0,1590.0606856132645
6,2019-02-21,1662.8588761826238,1471.6038834722303,1699.9410309959649,1662.8588761826238,1662.8588761826238,-77.6690905202289,-77.6690905202289,-77.6690905202289,-77.6690905202289,-77.6690905202289,-77.6690905202289,0.0,0.0,0.0,1585.189785662395
7,2019-02-22,1662.2763252768493,1471.7550690390722,1688.7436002064176,1662.2763252768493,1662.2763252768493,-82.31808111485012,-82.31808111485012,-82.31808111485012,-82.31808111485012,-82.31808111485012,-82.31808111485012,0.0,0.0,0.0,1579.9582441619991
8,2019-02-25,1660.5286725595256,1459.0249920159417,1673.8459923103865,1660.5286725595256,1660.5286725595256,-98.29047263647699,-98.29047263647699,-98.29047263647699,-98.29047263647699,-98.29047263647699,-98.29047263647699,0.0,0.0,0.0,1562.2381999230486
9,2019-02-26,1659.946121653751,1440.1006461459667,1667.0150863721603,1659.946121653751,1659.946121653751,-104.20442363815633,-104.20442363815633,-104.20442363815633,-104.20442363815633,-104.20442363815633,-104.20442363815633,0.0,0.0,0.0,1555.7416980155947
