,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-02-12,370.70027150951415,325.41988746424704,423.52593553168595,370.70027150951415,370.70027150951415,2.0479676748616193,2.0479676748616193,2.0479676748616193,2.0479676748616193,2.0479676748616193,2.0479676748616193,0.0,0.0,0.0,372.7482391843758
1,2019-02-14,371.1383477116961,321.62718212842924,425.39103040440176,371.1383477116961,371.1383477116961,2.0538040517093377,2.0538040517093377,2.0538040517093377,2.0538040517093377,2.0538040517093377,2.0538040517093377,0.0,0.0,0.0,373.19215176340543
2,2019-02-15,371.357385812787,322.6940518456462,420.18440221382497,371.357385812787,371.357385812787,1.6817702249847497,1.6817702249847497,1.6817702249847497,1.6817702249847497,1.6817702249847497,1.6817702249847497,0.0,0.0,0.0,373.03915603777176
3,2019-02-18,372.0145001160599,323.9868528237125,422.6886702763408,372.0145001160599,372.0145001160599,-1.0092960039833565,-1.0092960039833565,-1.0092960039833565,-1.0092960039833565,-1.0092960039833565,-1.0092960039833565,0.0,0.0,0.0,371.0052041120765
4,2019-02-19,372.2335382171509,318.7212096570115,417.09047283456607,372.2335382171509,372.2335382171509,-2.420557533401176,-2.420557533401176,-2.420557533401176,-2.420557533401176,-2.420557533401176,-2.420557533401176,0.0,0.0,0.0,369.81298068374974
5,2019-02-20,372.4525763182418,317.1915424042279,418.1641971763203,372.4525763182418,372.4525763182418,-4.070148417788208,-4.070148417788208,-4.070148417788208,-4.070148417788208,-4.070148417788208,-4.070148417788208,0.0,0.0,0.0,368.3824279004536
6,2019-02-21,372.6716144193328,319.6918123731598,415.28099465696744,372.6716144193328,372.6716144193328,-5.9392345877875625,-5.9392345877875625,-5.9392345877875625,-5.9392345877875625,-5.9392345877875625,-5.9392345877875625,0.0,0.0,0.0,366.73237983154524
7,2019-02-22,372.89065252042377,317.14086241605605,415.96177497011337,372.89065252042377,372.89065252042377,-8.004499672968278,-8.004499672968278,-8.004499672968278,-8.004499672968278,-8.004499672968278,-8.004499672968278,0.0,0.0,0.0,364.8861528474555
8,2019-02-25,373.5477668236967,306.3992591578753,410.59002053207735,373.5477668236967,373.5477668236967,-15.089039291321415,-15.089039291321415,-15.089039291321415,-15.089039291321415,-15.089039291321415,-15.089039291321415,0.0,0.0,0.0,358.4587275323753
9,2019-02-26,373.7668049247876,306.9906441242834,407.3428034720474,373.7668049247876,373.7668049247876,-17.637085153784135,-17.637085153784135,-17.637085153784135,-17.637085153784135,-17.637085153784135,-17.637085153784135,0.0,0.0,0.0,356.12971977100347
10,2019-02-27,373.98584302587864,301.04551975556535,400.4004789345501,373.98584302587864,373.98584302587864,-20.219395461179786,-20.219395461179786,-20.219395461179786,-20.219395461179786,-20.219395461179786,-20.219395461179786,0.0,0.0,0.0,353.76644756469886
11,2019-02-28,374.20488112696955,303.0784509663256,402.82047255253116,374.20488112696955,374.20488112696955,-22.799764675887506,-22.799764675887506,-22.799764675887506,-22.799764675887506,-22.799764675887506,-22.799764675887506,0.0,0.0,0.0,351.40511645108205
12,2019-03-01,374.42391922806047,296.49366394953347,396.97309691726093,374.42391922806047,374.42391922806047,-25.342579300635574,-25.342579300635574,-25.342579300635574,-25.342579300635574,-25.342579300635574,-25.342579300635574,0.0,0.0,0.0,349.0813399274249
13,2019-03-05,375.3000716324244,290.3487523349658,387.0193485604064,375.3000716324244,375.3000716324244,-34.488599882547994,-34.488599882547994,-34.488599882547994,-34.488599882547994,-34.488599882547994,-34.488599882547994,0.0,0.0,0.0,340.81147174987643
14,2019-03-06,375.51910973351534,291.5124502061481,390.69282237502654,375.51910973351534,375.51910973351534,-36.38113179784754,-36.38113179784754,-36.38113179784754,-36.38113179784754,-36.38113179784754,-36.38113179784754,0.0,0.0,0.0,339.1379779356678
15,2019-03-07,375.73814783460637,289.83035040903155,390.22145208226306,375.73814783460637,375.73814783460637,-38.07383083840503,-38.07383083840503,-38.07383083840503,-38.07383083840503,-38.07383083840503,-38.07383083840503,0.0,0.0,0.0,337.66431699620136
16,2019-03-08,375.9571859356973,285.6178534960141,387.98718200718776,375.9571859356973,375.9571859356973,-39.55300916696888,-39.55300916696888,-39.55300916696888,-39.55300916696888,-39.55300916696888,-39.55300916696888,0.0,0.0,0.0,336.4041767687284
17,2019-03-11,376.61430023897015,287.901307463254,385.2647583014718,376.61430023897015,376.61430023897015,-42.640847155791086,-42.640847155791086,-42.640847155791086,-42.640847155791086,-42.640847155791086,-42.640847155791086,0.0,0.0,0.0,333.97345308317904
18,2019-03-12,376.8333383400612,284.996390432294,383.5626543063347,376.8333383400612,376.8333383400612,-43.21968483700141,-43.21968483700141,-43.21968483700141,-43.21968483700141,-43.21968483700141,-43.21968483700141,0.0,0.0,0.0,333.61365350305977
19,2019-03-13,377.0523764411521,282.21249187573625,382.61208679419593,377.0523764411521,377.0523764411521,-43.583436994208675,-43.583436994208675,-43.583436994208675,-43.583436994208675,-43.583436994208675,-43.583436994208675,0.0,0.0,0.0,333.4689394469434
20,2019-03-14,377.27141454224306,284.9968421416055,383.54838827710466,377.27141454224306,377.27141454224306,-43.743695594669155,-43.743695594669155,-43.743695594669155,-43.743695594669155,-43.743695594669155,-43.743695594669155,0.0,0.0,0.0,333.52771894757393
21,2019-03-15,377.49045264333404,284.4374924468514,385.51451203245483,377.49045264333404,377.49045264333404,-43.71507844137638,-43.71507844137638,-43.71507844137638,-43.71507844137638,-43.71507844137638,-43.71507844137638,0.0,0.0,0.0,333.7753742019577
22,2019-03-18,378.14756694660696,290.0301421690053,385.99896899409856,378.14756694660696,378.14756694660696,-42.67567631165688,-42.67567631165688,-42.67567631165688,-42.67567631165688,-42.67567631165688,-42.67567631165688,0.0,0.0,0.0,335.47189063495006
23,2019-03-19,378.3666050476979,286.32497629256,384.0512591694945,378.3666050476979,378.3666050476979,-42.0781668045913,-42.0781668045913,-42.0781668045913,-42.0781668045913,-42.0781668045913,-42.0781668045913,0.0,0.0,0.0,336.28843824310655
24,2019-03-20,378.5856431487889,288.55665052258144,386.27289350020595,378.5856431487889,378.5856431487889,-41.389813062162006,-41.389813062162006,-41.389813062162006,-41.389813062162006,-41.389813062162006,-41.389813062162006,0.0,0.0,0.0,337.19583008662687
