,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-02-12,626.3337823921753,520.1334978492299,669.2560388289571,626.3337823921753,626.3337823921753,-31.23974285531293,-31.23974285531293,-31.23974285531293,-31.23974285531293,-31.23974285531293,-31.23974285531293,0.0,0.0,0.0,595.0940395368624
1,2019-02-14,625.4960390646041,516.6934255341921,667.5124494802193,625.4960390646041,625.4960390646041,-30.027654531861558,-30.027654531861558,-30.027654531861558,-30.027654531861558,-30.027654531861558,-30.027654531861558,0.0,0.0,0.0,595.4683845327426
2,2019-02-15,625.0771674008187,522.9594738588912,674.6909902979069,625.0771674008187,625.0771674008187,-29.74742307368044,-29.74742307368044,-29.74742307368044,-29.74742307368044,-29.74742307368044,-29.74742307368044,0.0,0.0,0.0,595.3297443271382
3,2019-02-18,623.820552409462,517.9646369026508,671.0601711803031,623.820552409462,623.820552409462,-30.474814321953808,-30.474814321953808,-30.474814321953808,-30.474814321953808,-30.474814321953808,-30.474814321953808,0.0,0.0,0.0,593.3457380875083
4,2019-02-19,623.4016807456766,520.2517504794972,666.6487326696462,623.4016807456766,623.4016807456766,-31.272264347653493,-31.272264347653493,-31.272264347653493,-31.272264347653493,-31.272264347653493,-31.272264347653493,0.0,0.0,0.0,592.1294163980231
5,2019-02-20,622.9828090818911,516.6478195783947,664.1034920815102,622.9828090818911,622.9828090818911,-32.344845560741135,-32.344845560741135,-32.344845560741135,-32.344845560741135,-32.344845560741135,-32.344845560741135,0.0,0.0,0.0,590.6379635211499
6,2019-02-21,622.5639374181054,509.12863955580514,667.5232297884272,622.5639374181054,622.5639374181054,-33.6802479076341,-33.6802479076341,-33.6802479076341,-33.6802479076341,-33.6802479076341,-33.6802479076341,0.0,0.0,0.0,588.8836895104713
7,2019-02-22,622.14506575432,517.2085020457821,668.8374731189048,622.14506575432,622.14506575432,-35.25941045362731,-35.25941045362731,-35.25941045362731,-35.25941045362731,-35.25941045362731,-35.25941045362731,0.0,0.0,0.0,586.8856553006926
8,2019-02-25,620.8884507629633,504.8076001321465,651.2121296515346,620.8884507629633,620.8884507629633,-41.181484541954326,-41.181484541954326,-41.181484541954326,-41.181484541954326,-41.181484541954326,-41.181484541954326,0.0,0.0,0.0,579.706966221009
9,2019-02-26,620.4695790991778,501.7371462358969,652.3830536193867,620.4695790991778,620.4695790991778,-43.434589306580826,-43.434589306580826,-43.434589306580826,-43.434589306580826,-43.434589306580826,-43.434589306580826,0.0,0.0,0.0,577.034989792597
10,2019-02-27,620.0507074353923,493.3175946414662,648.0148338278492,620.0507074353923,620.0507074353923,-45.76130496956789,-45.76130496956789,-45.76130496956789,-45.76130496956789,-45.76130496956789,-45.76130496956789,0.0,0.0,0.0,574.2894024658244
11,2019-02-28,619.6318357716068,492.2941209859323,651.8302204828058,619.6318357716068,619.6318357716068,-48.11957243728925,-48.11957243728925,-48.11957243728925,-48.11957243728925,-48.11957243728925,-48.11957243728925,0.0,0.0,0.0,571.5122633343176
12,2019-03-01,619.2129641078212,495.31377963759496,646.7299583738709,619.2129641078212,619.2129641078212,-50.46727280322933,-50.46727280322933,-50.46727280322933,-50.46727280322933,-50.46727280322933,-50.46727280322933,0.0,0.0,0.0,568.7456913045919
13,2019-03-05,617.5374774526791,488.67182269687237,640.7978817700009,617.5374774526791,617.5374774526791,-58.969779506891726,-58.969779506891726,-58.969779506891726,-58.969779506891726,-58.969779506891726,-58.969779506891726,0.0,0.0,0.0,558.5676979457874
14,2019-03-06,617.1186057888935,486.0052891787386,636.9746140061486,617.1186057888935,617.1186057888935,-60.70645201504065,-60.70645201504065,-60.70645201504065,-60.70645201504065,-60.70645201504065,-60.70645201504065,0.0,0.0,0.0,556.4121537738529
15,2019-03-07,616.6997341251081,472.5979904127887,629.0681550678136,616.6997341251081,616.6997341251081,-62.23686101455046,-62.23686101455046,-62.23686101455046,-62.23686101455046,-62.23686101455046,-62.23686101455046,0.0,0.0,0.0,554.4628731105577
16,2019-03-08,616.2808624613226,476.7298788656257,628.6087202045577,616.2808624613226,616.2808624613226,-63.545361935844035,-63.545361935844035,-63.545361935844035,-63.545361935844035,-63.545361935844035,-63.545361935844035,0.0,0.0,0.0,552.7355005254785
17,2019-03-11,615.024247469966,470.48647966996094,621.6216188266901,615.024247469966,615.024247469966,-66.07441656770008,-66.07441656770008,-66.07441656770008,-66.07441656770008,-66.07441656770008,-66.07441656770008,0.0,0.0,0.0,548.949830902266
18,2019-03-12,614.6053758061805,472.4677203406547,623.6884171021644,614.6053758061805,614.6053758061805,-66.46037323495997,-66.46037323495997,-66.46037323495997,-66.46037323495997,-66.46037323495997,-66.46037323495997,0.0,0.0,0.0,548.1450025712205
19,2019-03-13,614.1865041423949,473.42374359765574,622.0897271943965,614.1865041423949,614.1865041423949,-66.63602899235455,-66.63602899235455,-66.63602899235455,-66.63602899235455,-66.63602899235455,-66.63602899235455,0.0,0.0,0.0,547.5504751500404
20,2019-03-14,613.7676324786094,471.3883224336935,623.5769380143881,613.7676324786094,613.7676324786094,-66.61966340406966,-66.61966340406966,-66.61966340406966,-66.61966340406966,-66.61966340406966,-66.61966340406966,0.0,0.0,0.0,547.1479690745397
21,2019-03-15,613.3487608148239,475.6758878939967,621.0998843608598,613.3487608148239,613.3487608148239,-66.43347555425368,-66.43347555425368,-66.43347555425368,-66.43347555425368,-66.43347555425368,-66.43347555425368,0.0,0.0,0.0,546.9152852605703
22,2019-03-18,612.0921458234673,471.3502730397149,630.4478273634146,612.0921458234673,612.0921458234673,-65.1185159107149,-65.1185159107149,-65.1185159107149,-65.1185159107149,-65.1185159107149,-65.1185159107149,0.0,0.0,0.0,546.9736299127524
23,2019-03-19,611.6732741596817,473.9182788881742,622.8354900364833,611.6732741596817,611.6732741596817,-64.52244962556975,-64.52244962556975,-64.52244962556975,-64.52244962556975,-64.52244962556975,-64.52244962556975,0.0,0.0,0.0,547.150824534112
24,2019-03-20,611.2544024958962,472.2521520629018,616.42774214636,611.2544024958962,611.2544024958962,-63.894719094031174,-63.894719094031174,-63.894719094031174,-63.894719094031174,-63.894719094031174,-63.894719094031174,0.0,0.0,0.0,547.359683401865
25,2019-03-22,610.416659168325,469.1432689641083,626.2876710802659,610.416659168325,610.416659168325,-62.64704151487079,-62.64704151487079,-62.64704151487079,-62.64704151487079,-62.64704151487079,-62.64704151487079,0.0,0.0,0.0,547.7696176534542
26,2019-03-25,609.1600441769685,475.82113294117374,624.2831329198414,609.1600441769685,609.1600441769685,-61.09824344795475,-61.09824344795475,-61.09824344795475,-61.09824344795475,-61.09824344795475,-61.09824344795475,0.0,0.0,0.0,548.0618007290138
27,2019-03-26,608.741172513183,468.9378166124813,622.0479520880173,608.741172513183,608.741172513183,-60.72022217577401,-60.72022217577401,-60.72022217577401,-60.72022217577401,-60.72022217577401,-60.72022217577401,0.0,0.0,0.0,548.020950337409
28,2019-03-27,608.3223008493975,471.0105718511689,620.1784372254838,608.3223008493975,608.3223008493975,-60.41931171604821,-60.41931171604821,-60.41931171604821,-60.41931171604821,-60.41931171604821,-60.41931171604821,0.0,0.0,0.0,547.9029891333493
29,2019-03-28,607.903429185612,476.67159539534487,619.109513054467,607.903429185612,607.903429185612,-60.19288467760598,-60.19288467760598,-60.19288467760598,-60.19288467760598,-60.19288467760598,-60.19288467760598,0.0,0.0,0.0,547.710544508006
30,2019-04-01,606.2279425304698,473.79117040288565,623.8055998712422,606.2279425304698,606.2279425304698,-59.819513104791355,-59.819513104791355,-59.819513104791355,-59.819513104791355,-59.819513104791355,-59.819513104791355,0.0,0.0,0.0,546.4084294256785
31,2019-04-02,605.8090708666844,471.64791627016695,620.9404878664365,605.8090708666844,605.8090708666844,-59.772738008915994,-59.772738008915994,-59.772738008915994,-59.772738008915994,-59.772738008915994,-59.772738008915994,0.0,0.0,0.0,546.0363328577683
