Price,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,TMPV.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,280.4254455566406,504.3925476074219,1607.50048828125,350.9570007324219,541.7257080078125,496.1963806152344,1561.00048828125,170.38226318359375,282.6196980553307,505.0734698477647,1628.6530505074106,351.9700607094005,542.7439128757759,498.9850342368502,1566.9071137839242,171.11899826365158,274.98369579349713,494.4131787238654,1605.0460846375347,343.86549256072476,532.8469913893929,491.37165350447594,1546.3978583679043,168.27029528299337,277.30960760289946,499.59066424826386,1628.6530505074106,348.78613268665435,538.3860159277066,498.0776241124587,1555.421930750953,170.43138185338032,6117146,6373440,807345,7759872,2943390,9746670,1094883,6715543
2019-01-02,274.4131774902344,499.79022216796875,1592.7740478515625,351.7771301269531,544.984130859375,489.73388671875,1577.81787109375,165.5689239501953,281.74199412146214,504.2515866129729,1614.4174251847483,354.9610583108022,549.0162333175056,498.85222039888913,1586.9649176971325,168.71232378271665,271.29733970041656,497.72389453870045,1580.9037248279308,347.62834220743764,539.2821818486591,487.3436249759111,1558.7032074921071,165.02864859095428,278.14341545774107,503.14799739973824,1599.7356725940112,348.7861503348103,542.4997201624016,493.31923501144814,1562.8050580381391,167.58266938614128,6218991,8134232,1598707,18243156,7416655,15628818,2100463,13410104
2019-01-03,275.1592712402344,495.868896484375,1596.1658935546875,350.474609375,545.065673828125,483.6919250488281,1558.6624755859375,163.11314392089844,276.91467930944157,499.73148713984256,1609.5981119976427,354.38216034461936,551.459983140196,493.36354038015054,1595.5791382370276,167.1406198886152,270.2880249931607,493.8025689909968,1590.9892887716283,349.3168012277061,540.137520468073,482.5189400816617,1553.0429591887316,162.17994918380023,274.28155234566236,498.7805006843661,1590.9892887716283,352.1630624139711,547.3871619944043,490.22081646225075,1574.2905694987082,166.01096546827205,6230813,12771664,1182624,12884409,6827249,16288287,2611668,9321842
2019-01-04,283.0146789550781,497.1955871582031,1590.1859130859375,352.3560485839844,538.4676513671875,486.303466796875,1539.7119140625,167.9264678955078,284.9895091966002,499.7902343243313,1608.3039198020565,355.82941421941774,548.9348311071707,488.8707786063825,1559.6879100155566,168.9087812672147,274.23766886828474,495.5284800629517,1581.6625031867075,345.4574881633734,530.2812911477185,478.535196761192,1510.3016600483052,165.51980313260847,274.23766886828474,496.67901956990454,1605.5371590439245,349.1238610869647,547.18349820043,485.7501859420517,1558.7035057532753,166.0109598184619,11361086,7287120,1454134,22896026,7889310,18516544,4280862,17650435
2019-01-07,285.20892333984375,497.9468994140625,1593.0865478515625,354.7680969238281,547.1427001953125,489.0035400390625,1556.98046875,172.2486572265625,287.7981240040163,501.3986321439914,1610.088916183558,357.9520249910489,548.6903421106242,495.06767517209585,1565.9225230749284,175.04824136699503,282.7074559213167,497.3246794736744,1590.8552716373392,353.6585185739553,538.8341366705881,487.3436384673368,1543.1161937114784,170.13667446562638,284.7261824492543,499.6023117246012,1598.9325351124412,354.57511909490694,541.6851109386865,489.99947507255644,1551.976231053081,170.13667446562638,5511088,5387012,909032,12719847,8046340,12060290,1856423,21438351
2019-01-08,288.9830322265625,493.8026123046875,1580.501953125,366.7802429199219,545.7986450195312,488.9592590332031,1553.412109375,176.7672882080078,291.17728471730294,498.6161898378525,1600.7173346187992,368.37220707061374,551.8264390227971,491.30522873951855,1563.9538469396987,177.30756356012864,283.71683813675924,492.3115543821739,1571.799977093479,353.7068037667955,544.576798914846,485.1304376755269,1545.0033144076065,172.9853907209869,284.15568269092046,498.26397684762094,1599.3785690754883,354.8645824926237,549.7900288483215,489.15844012280803,1563.1334766989773,172.9853907209869,7194973,8343460,1262707,21501136,8621545,12304389,1691756,20128985
2019-01-09,293.5909423828125,497.04296875,1593.1312255859375,368.806396484375,550.7267456054688,491.6593322753906,1547.9974365234375,179.81248474121094,296.5751208411951,498.1113595877368,1603.8413514722295,370.0606641453259,561.8862832625952,494.4258249623011,1574.2903402623929,180.35276015067848,287.27150389918273,493.7086973385452,1582.7781256856622,362.39028062929196,540.8705402852809,486.32555754042943,1531.3849407494336,177.01288533964274,292.44993472048577,497.324727668682,1586.437396907005,368.2274923930572,558.9538725093123,492.21264263185543,1564.7740664154824,178.28989585595303,8018192,8568628,1324628,21730142,18130292,12614237,2414376,17468948
2019-01-10,296.0484924316406,495.09405517578125,1594.2022705078125,366.153076171875,553.6592407226562,490.2208557128906,1549.31005859375,182.4647216796875,297.23339635107317,498.68663910687155,1605.7156781736296,368.7098704196601,555.532728249884,491.77010133540966,1562.805107258082,183.54527246043546,291.74775097142935,491.3723150175811,1587.7762382496555,362.82440006532687,547.8350873945076,488.22898536834424,1535.8149097865794,180.30363510710512,295.39022568525843,497.0899287679056,1593.1313014477996,367.55209179793894,555.2068827159974,490.3315118933974,1550.4995552324278,180.40185745786448,5748158,7691540,1313981,14497154,9572493,8925160,3053461,16961888
